step,omega_0,loss,psnr,ssim
0,25.00,0.336445,10.75,0.4289
500,25.12,0.008924,26.52,0.7460
1000,25.49,0.027453,21.65,0.5747
1500,26.09,0.046884,19.33,0.3984
2000,26.91,0.065627,17.86,0.2913
2500,27.93,0.085300,16.72,0.2213
3000,29.12,0.151421,14.23,0.1536
3500,30.46,0.164580,13.86,0.1236
4000,31.91,0.216348,12.67,0.1013
4500,33.44,0.242404,12.18,0.0918
5000,35.00,0.271178,11.69,0.0872
5500,36.56,0.281937,11.52,0.0809
6000,38.09,0.266758,11.76,0.0794
6500,39.54,0.250172,12.04,0.0848
7000,40.88,0.229135,12.42,0.0953
7500,42.07,0.190695,13.22,0.1045
8000,43.09,0.173692,13.63,0.1159
8500,43.91,0.106276,15.77,0.1357
9000,44.51,0.078848,17.07,0.1564
9500,44.88,0.045135,19.51,0.2017
