step,total_loss,l2_loss,grad_loss,psnr,ssim
0,0.338110,0.338110,0.000000,10.73,0.4274
500,0.053664,0.019980,1.347355,23.01,0.6602
1000,0.078481,0.027471,1.020210,21.63,0.6473
1500,0.073491,0.027774,0.914349,21.58,0.6503
2000,0.070055,0.027404,0.853011,21.64,0.6533
2500,0.064896,0.027164,0.754647,21.68,0.6553
3000,0.061625,0.026795,0.696602,21.74,0.6568
3500,0.060440,0.026655,0.675685,21.76,0.6575
4000,0.059907,0.026669,0.664764,21.76,0.6579
4500,0.059125,0.026729,0.647915,21.75,0.6581
5000,0.057354,0.026573,0.615620,21.78,0.6587
5500,0.056842,0.026568,0.605486,21.78,0.6590
6000,0.055833,0.026526,0.586143,21.78,0.6592
6500,0.054429,0.026560,0.557374,21.78,0.6592
7000,0.053261,0.026509,0.535045,21.79,0.6596
7500,0.053441,0.026494,0.538933,21.79,0.6595
8000,0.053405,0.026427,0.539561,21.80,0.6598
8500,0.054398,0.026540,0.557160,21.78,0.6592
9000,0.052372,0.026297,0.521490,21.82,0.6602
9500,0.051864,0.026304,0.511216,21.82,0.6603
